file,group,NavigationLink,Form,List,ScrollView,Button,Toggle,Picker,Slider,TextField,ForEach,GeometryReader,ZStack,VStack,HStack,@EnvironmentObject,@ObservedObject,sheet(,fullScreenCover,alert(
Settings/Camera/Zoom/ZoomSettingsView.swift,Settings,0,1,2,0,4,0,0,1,0,2,0,0,0,1,1,1,0,0,0
Settings/Camera/Zoom/ZoomSwitchToSettingsView.swift,Settings,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Settings/CatPrinters/CatPrinterScannerSettingsView.swift,Settings,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
Settings/CatPrinters/CatPrinterSettingsView.swift,Settings,4,2,0,0,1,4,0,0,0,0,0,0,0,0,1,4,0,0,0
Settings/CatPrinters/CatPrintersSettingsView.swift,Settings,1,1,1,0,2,1,0,0,0,1,0,0,0,0,1,3,0,0,0
Settings/Chat/ChatBotSettingsView.swift,Settings,7,6,1,0,2,6,2,0,0,3,0,0,8,1,2,5,0,0,0
Settings/Chat/ChatFiltersSettingsView.swift,Settings,4,2,1,0,2,6,0,0,0,1,0,0,1,2,0,4,0,0,0
Settings/Chat/ChatNicknamesSettingsView.swift,Settings,2,2,1,0,3,0,0,0,0,1,0,0,0,2,0,2,0,0,0
Settings/Chat/ChatSettingsAppearanceView.swift,Settings,1,1,0,0,0,9,6,1,0,1,0,0,0,1,0,2,0,0,0
Settings/Chat/ChatSettingsLayoutView.swift,Settings,1,1,0,0,0,2,0,3,0,0,0,0,0,3,0,2,0,0,0
Settings/Chat/ChatSettingsView.swift,Settings,4,1,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0
Settings/Chat/ChatTextToSpeechSettingsView.swift,Settings,2,2,0,0,0,5,1,3,0,1,0,0,0,3,1,3,0,0,0
Settings/Debug/DebugLogSettingsView.swift,Settings,0,1,0,0,2,0,0,0,1,1,0,0,1,1,0,1,0,0,0
Settings/Debug/DebugSettingsView.swift,Settings,1,1,0,0,1,8,0,3,0,0,0,0,1,3,1,1,0,1,0
Settings/Debug/DebugVideoSettingsView.swift,Settings,1,11,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0
Settings/DeepLinkCreator/DeepLinkCreatorQuickButtonsSettingsView.swift,Settings,0,1,1,0,15,4,1,0,0,2,0,0,1,2,1,2,0,0,0
Settings/DeepLinkCreator/DeepLinkCreatorSettingsView.swift,Settings,3,1,0,0,29,2,0,0,0,0,1,0,0,0,0,1,0,0,0
Settings/DeepLinkCreator/DeepLinkCreatorStreamSettingsView.swift,Settings,8,8,0,0,0,3,5,1,0,5,0,0,0,2,2,8,0,0,0
Settings/DeepLinkCreator/DeepLinkCreatorStreamsSettingsView.swift,Settings,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Settings/DeepLinkCreator/DeepLinkCreatorWebBrowserSettingsView.swift,Settings,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Settings/Display/DisplaySettingsView.swift,Settings,4,1,0,0,4,7,1,1,0,1,0,0,2,1,2,2,0,0,0
Settings/Display/LocalOverlays/LocalOverlaysSettingsView.swift,Settings,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0
Settings/Display/NetworkInterfaceNames/LocalOverlaysNetworkInterfaceNamesSettingsView.swift,Settings,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
Settings/Display/QuickButtons/QuickButtonsButtonSettingsView.swift,Settings,1,1,0,0,80,1,4,0,0,1,0,0,1,3,1,4,0,0,0
Settings/Display/QuickButtons/QuickButtonsSettingsView.swift,Settings,1,1,1,0,44,5,0,0,0,2,0,0,0,0,0,6,0,0,0
Settings/Display/StreamButton/StreamButtonsSettingsView.swift,Settings,0,1,0,0,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Settings/DjiDevices/DjiDeviceScannerSettingsView.swift,Settings,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
Settings/DjiDevices/DjiDeviceSettingsView.swift,Settings,3,1,0,0,4,1,7,0,0,7,0,0,0,0,3,12,0,0,0
Settings/DjiDevices/DjiDevicesSettingsView.swift,Settings,1,1,1,0,2,0,0,0,0,1,0,0,0,1,2,3,0,0,0
Settings/GameControllers/GameControllersControllerButtonSettingsView.swift,Settings,1,1,0,0,5,0,6,0,0,7,0,0,0,1,0,1,0,0,0
Settings/GameControllers/GameControllersControllerSettingsView.swift,Settings,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Settings/GameControllers/GameControllersControllerThumbStickSettingsView.swift,Settings,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Settings/GameControllers/GameControllersSettingsView.swift,Settings,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Settings/Gimbal/GimbalSettingsView.swift,Settings,1,2,1,0,11,1,0,1,0,1,0,0,1,4,0,4,0,0,0
Settings/GoPro/GoProSettingsView.swift,Settings,5,4,3,0,6,1,4,0,0,7,3,0,0,3,2,20,0,0,0
Settings/HelpAndSupport/HelpAndSupportSettingsView.swift,Settings,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Settings/ImportExport/ExportSettingsView.swift,Settings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Settings/ImportExport/ImportExportSettingsView.swift,Settings,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Settings/ImportExport/ImportSettingsView.swift,Settings,0,0,0,0,2,0,12,0,0,0,0,0,0,0,1,1,1,0,0
Settings/Ingests/IngestsSettingsView.swift,Settings,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Settings/Ingests/RistServer/RistServerSettingsView.swift,Settings,1,1,3,0,2,1,0,0,0,1,0,0,1,1,1,1,0,0,0
Settings/Ingests/RistServer/RistServerStreamSettingsView.swift,Settings,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0
Settings/Ingests/RtmpServer/RtmpServerSettingsView.swift,Settings,1,1,3,0,2,1,0,0,0,1,0,0,1,1,1,1,0,0,0
Settings/Ingests/RtmpServer/RtmpServerStreamSettingsView.swift,Settings,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0
Settings/Ingests/RtspClient/RtspClientSettingsView.swift,Settings,1,1,1,0,2,0,0,0,0,1,0,0,0,1,1,1,0,0,0
Settings/Ingests/RtspClient/RtspClientStreamSettingsView.swift,Settings,2,5,0,0,1,1,1,0,1,2,0,0,0,1,1,2,1,0,0
Settings/Ingests/SrtlaServer/SrtlaServerSettingsView.swift,Settings,1,1,3,0,2,1,0,0,0,1,0,0,2,1,1,1,0,0,0
Settings/Ingests/SrtlaServer/SrtlaServerStreamSettingsView.swift,Settings,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0
Settings/Ingests/WhepClient/WhepClientSettingsView.swift,Settings,1,1,1,0,2,0,0,0,0,1,0,0,0,1,1,1,0,0,0
Settings/Ingests/WhepClient/WhepClientStreamSettingsView.swift,Settings,2,2,0,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0
Settings/Ingests/WhipServer/WhipServerSettingsView.swift,Settings,1,1,3,0,2,1,0,0,0,1,0,0,0,1,1,1,0,0,0
Settings/Ingests/WhipServer/WhipServerStreamSettingsView.swift,Settings,2,3,0,0,0,1,0,0,0,0,0,0,1,1,1,4,0,0,0
Settings/Keyboard/KeyboardKeySettingsView.swift,Settings,2,2,0,0,1,0,2,0,1,0,0,0,0,2,0,3,0,0,0
Settings/Keyboard/KeyboardSettingsView.swift,Settings,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Settings/Location/LocationSettingsView.swift,Settings,1,1,1,0,3,3,2,0,0,3,0,0,1,0,2,2,0,0,0
Settings/Macros/MacrosSettingsView.swift,Settings,2,3,2,0,4,1,5,1,0,8,0,0,0,2,0,8,0,0,0
Settings/MediaPlayer/MediaPlayerFileSettingsView.swift,Settings,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Settings/MediaPlayer/MediaPlayerSettingsView.swift,Settings,1,1,1,0,1,1,2,0,0,1,0,0,0,1,1,2,0,0,0
Settings/MediaPlayer/MediaPlayersSettingsView.swift,Settings,0,1,1,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0
Settings/Moblink/MoblinkSettingsView.swift,Settings,3,4,2,0,4,3,0,0,2,2,0,0,1,1,5,6,0,0,0
Settings/Recordings/RecordingsSettingsView.swift,Settings,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0
Settings/RemoteControl/RemoteControlSettingsView.swift,Settings,8,8,1,0,5,6,1,1,2,2,0,0,2,3,2,12,0,0,0
Settings/Reset/ResetSettingsView.swift,Settings,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Settings/Scenes/AutoSwitchers/AutoSwitchersSettingsView.swift,Settings,3,3,0,0,4,1,5,0,0,5,0,0,0,2,3,11,0,0,0
Settings/Scenes/DisconnectProtection/DisconnectProtectionSettingsView.swift,Settings,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0
Settings/Scenes/Scene/SceneSettingsView.swift,Settings,4,1,1,1,4,4,6,0,0,4,0,0,3,5,5,13,0,0,1
Settings/Scenes/Scene/SceneWidgetSettingsView.swift,Settings,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Settings/Scenes/ScenesSettingsView.swift,Settings,2,2,3,0,5,2,2,1,0,3,0,0,0,2,3,7,0,0,0
